,Unnamed: 0,Province_State,Country_Region,Last_Update,Confirmed,Deaths,Recovered
0,131,Amazonas,Colombia,2020-10-20 04:24:22,2779,117,2631
1,132,Antioquia,Colombia,2020-10-20 04:24:22,145194,2853,131710
2,133,Arauca,Colombia,2020-10-20 04:24:22,2621,76,2257
3,134,Atlantico,Colombia,2020-10-20 04:24:22,69747,3104,65497
4,135,Bolivar,Colombia,2020-10-20 04:24:22,31412,819,29933
5,136,Boyaca,Colombia,2020-10-20 04:24:22,11036,232,9020
6,137,Caldas,Colombia,2020-10-20 04:24:22,9491,209,7508
7,138,Capital District,Colombia,2020-10-20 04:24:22,298170,7322,268385
8,139,Caqueta,Colombia,2020-10-20 04:24:22,10345,365,9082
9,140,Casanare,Colombia,2020-10-20 04:24:22,3833,71,2974
10,141,Cauca,Colombia,2020-10-20 04:24:22,11822,329,10254
11,142,Cesar,Colombia,2020-10-20 04:24:22,23708,741,21026
12,143,Choco,Colombia,2020-10-20 04:24:22,4098,160,3848
13,144,Cordoba,Colombia,2020-10-20 04:24:22,25449,1596,22782
14,145,Cundinamarca,Colombia,2020-10-20 04:24:22,38584,1128,35139
15,146,Guainia,Colombia,2020-10-20 04:24:22,1093,18,1010
16,147,Guaviare,Colombia,2020-10-20 04:24:22,1217,21,1090
17,148,Huila,Colombia,2020-10-20 04:24:22,17719,515,15069
18,149,La Guajira,Colombia,2020-10-20 04:24:22,9265,376,8402
19,150,Magdalena,Colombia,2020-10-20 04:24:22,16461,871,14911
20,151,Meta,Colombia,2020-10-20 04:24:22,20167,487,18246
21,152,Narino,Colombia,2020-10-20 04:24:22,20365,739,18329
22,153,Norte de Santander,Colombia,2020-10-20 04:24:22,18825,1001,16771
23,154,Putumayo,Colombia,2020-10-20 04:24:22,4163,193,3664
24,155,Quindio,Colombia,2020-10-20 04:24:22,6960,172,5417
25,156,Risaralda,Colombia,2020-10-20 04:24:22,14957,331,12973
26,157,San Andres y Providencia,Colombia,2020-10-20 04:24:22,1751,28,1575
27,158,Santander,Colombia,2020-10-20 04:24:22,37799,1541,32807
28,159,Sucre,Colombia,2020-10-20 04:24:22,15121,604,14011
29,160,Tolima,Colombia,2020-10-20 04:24:22,15941,478,13913
30,161,Unknown,Colombia,2020-10-20 04:24:22,0,0,0
31,162,Valle del Cauca,Colombia,2020-10-20 04:24:22,74066,2586,66080
32,163,Vaupes,Colombia,2020-10-20 04:24:22,985,12,950
33,164,Vichada,Colombia,2020-10-20 04:24:22,739,7,697
